IATA,City,Timezone
GKA,Goroka,Pacific/Port_Moresby
MAG,Madang,Pacific/Port_Moresby
HGU,Mount Hagen,Pacific/Port_Moresby
LAE,Nadzab,Pacific/Port_Moresby
POM,Port Moresby,Pacific/Port_Moresby
WWK,Wewak,Pacific/Port_Moresby
UAK,Narssarssuaq,America/Nuuk
GOH,Godthaab,America/Nuuk
SFJ,Sondrestrom,America/Nuuk
THU,Thule,America/Thule
AEY,Akureyri,Atlantic/Reykjavik
EGS,Egilsstadir,Atlantic/Reykjavik
HFN,Hofn,Atlantic/Reykjavik
HZK,Husavik,Atlantic/Reykjavik
IFJ,Isafjordur,Atlantic/Reykjavik
KEF,Keflavik,Atlantic/Reykjavik
PFJ,Patreksfjordur,Atlantic/Reykjavik
RKV,Reykjavik,Atlantic/Reykjavik
SIJ,Siglufjordur,Atlantic/Reykjavik
VEY,Vestmannaeyjar,Atlantic/Reykjavik
YAM,Sault Sainte Marie,America/Toronto
YAY,St. Anthony,America/St_Johns
YAZ,Tofino,America/Vancouver
YBB,Pelly Bay,America/Cambridge_Bay
YBC,Baie Comeau,America/Toronto
YBG,Bagotville,America/Toronto
YBK,Baker Lake,America/Rankin_Inlet
YBL,Campbell River,America/Vancouver
YBR,Brandon,America/Winnipeg
YCB,Cambridge Bay,America/Cambridge_Bay
YCD,Nanaimo,America/Vancouver
YCG,Castlegar,America/Vancouver
YCH,Chatham,America/Moncton
YCL,Charlo,America/Moncton
YCO,Coppermine,America/Cambridge_Bay
YCT,Coronation,America/Edmonton
YCW,Chilliwack,America/Vancouver
YCY,Clyde River,America/Iqaluit
YZS,Coral Harbour,America/Atikokan
YDA,Dawson,America/Dawson
YDB,Burwash,America/Dawson
YDF,Deer Lake,America/St_Johns
YDL,Dease Lake,America/Vancouver
YDN,Dauphin,America/Winnipeg
YDQ,Dawson Creek,America/Dawson_Creek
YEG,Edmonton,America/Edmonton
YEK,Eskimo Point,America/Rankin_Inlet
YEN,Estevan,America/Regina
YET,Edson,America/Edmonton
YEU,Eureka,America/Atikokan
YEV,Inuvik,America/Inuvik
YFB,Iqaluit,America/Iqaluit
YFC,Fredericton,America/Moncton
YFE,Forestville,America/Toronto
YFO,Flin Flon,America/Winnipeg
YFR,Fort Resolution,America/Edmonton
YFS,Fort Simpson,America/Inuvik
YGK,Kingston,America/Toronto
YGL,La Grande Riviere,America/Toronto
YGP,Gaspe,America/Toronto
YGQ,Geraldton,America/Toronto
YGR,Iles De La Madeleine,America/Halifax
YHB,Hudson Bay,America/Regina
YHD,Dryden,America/Winnipeg
YHI,Holman Island,America/Edmonton
YHK,Gjoa Haven,America/Cambridge_Bay
YHM,Hamilton,America/Toronto
YHU,Montreal,America/Toronto
YHY,Hay River,America/Edmonton
YHZ,Halifax,America/Halifax
YIB,Atikokan,America/Atikokan
YIO,Pond Inlet,America/Iqaluit
YJN,St. Jean,America/Toronto
YJT,Stephenville,America/St_Johns
YKA,Kamloops,America/Vancouver
YKF,Waterloo,America/Toronto
YKL,Schefferville,America/Toronto
YKY,Kindersley,America/Swift_Current
YKZ,Toronto,America/Toronto
YLD,Chapleau,America/Toronto
YLJ,Meadow Lake,America/Swift_Current
YLL,Lloydminster,America/Edmonton
YLT,Alert,America/Iqaluit
YLW,Kelowna,America/Vancouver
YMA,Mayo,America/Whitehorse
YMJ,Moose Jaw,America/Regina
YMM,Fort Mcmurray,America/Edmonton
YMO,Moosonee,America/Toronto
YMW,Maniwaki,America/Toronto
